Currency Code,Currency Name,Country,Currency Name (Russian),Country (Russian)
KWD,Kuwaiti Dinar,Kuwait,Кувейтский динар,Кувейт
KYD,Cayman Islands Dollar,Cayman Islands,Доллар Каймановых островов,Каймановы острова
KZT,Kazakhstani Tenge,Kazakhstan,Казахстанский тенге,Казахстан
LAK,Lao Kip,Laos,Лаосский кип,Лаос
LBP,Lebanese Pound,Lebanon,Ливанский фунт,Ливан
LKR,Sri Lanka Rupee,Sri Lanka,Шри-Ланкийская рупия,Шри-Ланка
LRD,Liberian Dollar,Liberia,Либерийский доллар,Либерия
LSL,Lesotho Loti,Lesotho,Лесотоский лоти,Лесото
LYD,Libyan Dinar,Libya,Ливийский динар,Ливия
MAD,Moroccan Dirham,Morocco,Марокканский дирхам,Марокко
MDL,Moldovan Leu,Moldova,Молдавский лей,Молдова
MGA,Malagasy Ariary,Madagascar,Малагасийский ариари,Мадагаскар
MKD,Macedonian Denar,North Macedonia,Македонский денар,Северная Македония
MMK,Burmese Kyat,Myanmar,Бирманский кьят,Мьянма
MNT,Mongolian Tögrög,Mongolia,Монгольский тугрик,Монголия
MOP,Macanese Pataca,Macau,Макаоская патака,Макао
MRU,Mauritanian Ouguiya,Mauritania,Мавританская угия,Мавритания
MUR,Mauritian Rupee,Mauritius,Маврикийская рупия,Маврикий
MVR,Maldivian Rufiyaa,Maldives,Мальдивская руфия,Мальдивы
MWK,Malawian Kwacha,Malawi,Малавийская квача,Малави
MXN,Mexican Peso,Mexico,Мексиканское песо,Мексика
MYR,Malaysian Ringgit,Malaysia,Малайзийский ринггит,Малайзия
MZN,Mozambican Metical,Mozambique,Мозамбикский метикал,Мозамбик
NAD,Namibian Dollar,Namibia,Намибийский доллар,Намибия
NGN,Nigerian Naira,Nigeria,Нигерийская найра,Нигерия
NIO,Nicaraguan Córdoba,Nicaragua,Никарагуанская кордова,Никарагуа
NOK,Norwegian Krone,Norway,Норвежская крона,Норвегия
NPR,Nepalese Rupee,Nepal,Непальская рупия,Непал
NZD,New Zealand Dollar,New Zealand,Новозеландский доллар,Новая Зеландия
OMR,Omani Rial,Oman,Оманский риал,Оман
PAB,Panamanian Balboa,Panama,Панамский бальбоа,Панама
PEN,Peruvian Sol,Peru,Перуанский соль,Перу
PGK,Papua New Guinean Kina,Papua New Guinea,Папуа-новогвинейская кина,Папуа-Новая Гвинея
PHP,Philippine Peso,Philippines,Филиппинское песо,Филиппины
PKR,Pakistani Rupee,Pakistan,Пакистанская рупия,Пакистан
PLN,Polish Złoty,Poland,Польский злотый,Польша
PYG,Paraguayan Guaraní,Paraguay,Парагвайский гуарани,Парагвай
QAR,Qatari Riyal,Qatar,Катарский риал,Катар
RON,Romanian Leu,Romania,Румынский лей,Румыния
RSD,Serbian Dinar,Serbia,Сербский динар,Сербия
RUB,Russian Ruble,Russia,Российский рубль,Россия
RWF,Rwandan Franc,Rwanda,Руандийский франк,Руанда
SAR,Saudi Riyal,Saudi Arabia,Саудовский риал,Саудовская Аравия
SBD,Solomon Islands Dollar,Solomon Islands,Доллар Соломоновых Островов,Соломоновы Острова
SCR,Seychellois Rupee,Seychelles,Сейшельская рупия,Сейшельские Острова
SDG,Sudanese Pound,Sudan,Суданский фунт,Судан
SEK,Swedish Krona,Sweden,Шведская крона,Швеция
SGD,Singapore Dollar,Singapore,Сингапурский доллар,Сингапур
SHP,Saint Helena Pound,Saint Helena,Фунт Святой Елены,Святая Елена
SLE,Sierra Leonean Leone,Sierra Leone,Сьерралеонский леоне,Сьерра-Леоне
SOS,Somali Shilling,Somalia,Сомалийский шиллинг,Сомали
SRD,Surinamese Dollar,Suriname,Суринамский доллар,Суринам
SSP,South Sudanese Pound,South Sudan,Южносуданский фунт,Южный Судан
STN,São Tomé and Príncipe Dobra,São Tomé and Príncipe,Добра Сан-Томе и Принсипи,Сан-Томе и Принсипи
SYP,Syrian Pound,Syria,Сирийский фунт,Сирия
SZL,Eswatini Lilangeni,Eswatini,Эсватини лилангени,Эсватини
THB,Thai Baht,Thailand,Тайский бат,Таиланд
TJS,Tajikistani Somoni,Tajikistan,Таджикский сомони,Таджикистан
TMT,Turkmenistan Manat,Turkmenistan,Туркменский манат,Туркменистан
TND,Tunisian Dinar,Tunisia,Тунисский динар,Тунис
TOP,Tongan Paʻanga,Tonga,Тонганский паанга,Тонга
TRY,Turkish Lira,Turkey,Турецкая лира,Турция
TTD,Trinidad and Tobago Dollar,Trinidad and Tobago,Доллар Тринидада и Тобаго,Тринидад и Тобаго
TVD,Tuvaluan Dollar,Tuvalu,Доллар Тувалу,Тувалу
TWD,New Taiwan Dollar,Taiwan,Новый тайваньский доллар,Тайвань
TZS,Tanzanian Shilling,Tanzania,Танзанийский шиллинг,Танзания
UAH,Ukrainian Hryvnia,Ukraine,Украинская гривна,Украина
UGX,Ugandan Shilling,Uganda,Угандийский шиллинг,Уганда
USD,United States Dollar,United States,Доллар США,Соединенные Штаты
UYU,Uruguayan Peso,Uruguay,Уругвайское песо,Уругвай
UZS,Uzbekistani So'm,Uzbekistan,Узбекский сом,Узбекистан
VES,Venezuelan Bolívar Soberano,Venezuela,Венесуэльский боливар соберано,Венесуэла
VND,Vietnamese Đồng,Vietnam,Вьетнамский донг,Вьетнам
VUV,Vanuatu Vatu,Vanuatu,Вануату вату,Вануату
WST,Samoan Tālā,Samoa,Самоанский тала,Самоа
XAF,Central African CFA Franc,CEMAC,Центральноафриканский франк КФА,CEMAC
XCD,East Caribbean Dollar,Organisation of Eastern Caribbean States,Восточно-карибский доллар,Организация восточнокарибских государств
XDR,Special Drawing Rights,International Monetary Fund,Специальные права заимствования,Международный валютный фонд
XOF,West African CFA franc,CFA,Западноафриканский франк КФА,CFA
XPF,CFP Franc,Collectivités d'Outre-Mer,Франк КФП,Collectivités d'Outre-Mer
YER,Yemeni Rial,Yemen,Йеменский риал,Йемен
ZAR,South African Rand,South Africa,Южноафриканский ранд,Южная Африка
ZMW,Zambian Kwacha,Zambia,Замбийская квача,Замбия
ZWL,Zimbabwean Dollar,Zimbabwe,Зимбабвийский доллар,Зимбабве
